,a_x_mean,a_y_mean,a_z_mean,a_x_median,a_y_median,a_z_median,a_x_max,a_y_max,a_z_max,a_x_min,a_y_min,a_z_min,a_x_diff,a_y_diff,a_z_diff,g_x_mean,g_y_mean,g_z_mean,g_x_median,g_y_median,g_z_median,g_x_max,g_y_max,g_z_max,g_x_min,g_y_min,g_z_min,g_x_diff,g_y_diff,g_z_diff,o_x_mean,o_y_mean,o_z_mean,o_x_median,o_y_median,o_z_median,o_x_max,o_y_max,o_z_max,o_x_min,o_y_min,o_z_min,o_x_diff,o_y_diff,o_z_diff,fallen
10,-3.921518987341772,-1.877215189873417,4.265822784810128,-0.8,-3.8,4.4,8.4,18.1,12.1,-19.0,-15.1,-15.8,27.4,33.2,27.9,-0.03924050632911388,-0.1151898734177215,-0.13670886075949373,0.1,-0.1,0.0,3.7,6.7,3.7,-8.1,-7.0,-10.9,11.8,13.7,14.600000000000001,0.321518987341772,-0.037974683544303806,-0.4911392405063285,0.3,0.0,-0.4,0.7,0.3,-0.2,-0.4,-0.4,-0.7,1.1,0.7,0.49999999999999994,1
11,2.893525179856112,-1.2762589928057542,7.670503597122309,1.4,-3.5,9.0,34.4,29.8,24.9,-39.0,-10.7,-39.1,73.4,40.5,64.0,-0.050359712230215785,0.061151079136690684,0.18920863309352517,0.0,0.0,0.0,4.0,8.5,7.5,-4.6,-3.7,-3.1,8.6,12.2,10.6,0.17482014388489173,0.05035971223021591,0.23021582733812898,0.2,-0.0,0.4,0.5,0.4,0.7,-0.2,-0.2,-0.9,0.7,0.6000000000000001,1.6,1
12,-4.8989690721649515,-1.8185567010309296,7.096907216494845,-2.1,-3.4,8.3,8.2,20.6,34.1,-37.3,-20.8,-11.0,45.5,41.400000000000006,45.1,-0.03917525773195876,-0.11649484536082468,0.005154639175257669,-0.0,-0.0,-0.0,20.2,2.7,7.9,-9.8,-5.0,-6.9,30.0,7.7,14.8,-0.17708333333333384,-0.14999999999999977,0.8916666666666662,-0.1,-0.2,0.9,0.2,0.3,1.0,-0.7,-0.6,0.7,0.8999999999999999,0.8999999999999999,0.30000000000000004,1
13,-4.174860335195526,-0.08770949720670347,0.34916201117318524,-1.3,0.4,1.8,18.7,37.9,15.1,-35.7,-16.0,-11.5,54.400000000000006,53.9,26.6,-0.08212290502793299,-0.046368715083798875,0.025139664804469213,0.0,-0.0,-0.0,6.5,5.2,3.9,-4.2,-4.8,-5.3,10.7,10.0,9.2,0.18826815642458103,-0.5312849162011172,-0.08100558659217875,0.2,-0.5,-0.0,0.5,0.0,0.4,-0.3,-1.0,-0.6,0.8,1.0,1.0,1
14,-2.049253731343284,-2.5059701492537316,-1.729850746268656,0.7,-2.3,-1.75,23.5,8.6,17.3,-13.7,-25.1,-17.0,37.2,33.7,34.3,0.005970149253731356,-0.014925373134328358,-0.0805970149253732,0.0,0.0,0.0,6.3,2.8,2.3,-12.9,-14.9,-10.2,19.2,17.7,12.5,-0.4708955223880602,0.4619402985074637,-0.04552238805970142,-0.5,0.5,-0.1,0.3,0.8,0.4,-0.8,-0.1,-0.7,1.1,0.9,1.1,1
15,-1.875362318840582,0.852173913043478,-4.706521739130433,1.45,3.4,-7.9,5.2,13.6,39.2,-38.7,-35.0,-23.5,43.900000000000006,48.6,62.7,-0.20724637681159422,0.08333333333333331,-0.19347826086956524,0.0,0.0,0.0,7.0,6.6,7.2,-12.9,-3.5,-5.9,19.9,10.1,13.100000000000001,-0.5239130434782608,0.4420289855072472,-0.11666666666666663,-0.6,0.6,-0.1,0.3,1.0,0.2,-1.0,-0.2,-0.9,1.3,1.2,1.1,1
16,-6.412643678160918,1.6172413793103444,2.063218390804599,-7.4,0.3,1.1,4.3,38.6,19.3,-17.4,-14.1,-8.9,21.7,52.7,28.200000000000003,-0.25402298850574706,-0.10574712643678161,0.18045977011494244,-0.1,0.0,-0.0,9.1,3.8,3.8,-8.5,-4.7,-6.4,17.6,8.5,10.2,-0.4425287356321839,-0.2724137931034482,0.43448275862068936,-0.4,-0.3,0.4,-0.0,0.3,0.9,-0.7,-0.7,0.0,0.7,1.0,0.9,1
17,-4.7824074074074066,4.096296296296296,0.7916666666666663,-2.9,3.3499999999999996,-0.9,7.7,32.4,18.4,-38.9,-20.7,-12.0,46.6,53.099999999999994,30.4,-0.16296296296296295,-0.0009259259259259689,0.14351851851851855,-0.1,0.0,0.0,6.3,4.7,9.1,-10.6,-6.7,-3.4,16.9,11.4,12.5,0.45092592592592556,0.2851851851851856,-0.28148148148148183,0.4,0.2,-0.1,0.8,0.7,0.3,-0.2,-0.1,-0.9,1.0,0.7999999999999999,1.2,1
18,-0.3398692810457508,-2.781045751633987,-0.7875816993464055,0.8,-4.3,1.5,29.5,9.6,16.9,-23.2,-35.7,-29.6,52.7,45.300000000000004,46.5,0.03006535947712424,-0.06209150326797383,-0.06601307189542485,-0.0,-0.0,0.0,7.5,3.8,6.0,-9.9,-7.3,-6.4,17.4,11.1,12.4,0.5193333333333341,0.25066666666666726,-0.1880000000000001,0.5,0.1,0.0,1.0,0.6,0.4,-0.1,-0.2,-0.9,1.1,0.8,1.3,1
19,-5.883720930232558,0.6434108527131784,5.451937984496119,-4.5,-0.4,5.3,7.0,13.7,39.2,-37.3,-10.3,-8.8,44.3,24.0,48.0,0.03023255813953484,-0.05038759689922483,0.14108527131782944,0.0,-0.0,0.0,9.0,5.3,5.9,-7.6,-3.4,-2.8,16.6,8.7,8.7,0.2333333333333339,0.20620155038759663,-0.5674418604651165,0.2,0.2,-0.5,0.6,0.6,-0.3,-0.1,-0.6,-1.0,0.7,1.2,0.7,1
